order_id,order_date,customer_id,customer_segment,customer_city,customer_country,warehouse_id,warehouse_city,product_category,product_weight_kg,order_value_usd,shipping_method,carrier,distance_km,promised_delivery_days,actual_delivery_days,delivery_status,late_delivery,delivery_delay_days,shipping_cost_usd,package_size,payment_method,order_priority,weather_condition,customer_rating,return_requested,return_reason,delivery_attempts,warehouse_processing_hours,tracking_status
ORD-013142,11-01-2026,CUS-004859,Consumer,Perth,Australia,WH-010,Singapore,Grocery,4.53,105.73,International,PrimeDelivery,242.6,10,9,Delivered,No,0,40.26,Large,Debit Card,Urgent,Rain,4,No,None,1,5.6,Delivered
ORD-013143,31-07-2026,CUS-000482,Consumer,Chicago,United States,WH-005,London,Books,0.36,53.38,Standard,FastTrack Logistics,2128.2,5,6,Delivered,Yes,1,59.21,Medium,PayPal,Low,Rain,4,No,None,1,6.4,Delivered
ORD-013144,11-09-2026,CUS-005097,Small Business,Marseille,France,WH-003,Chicago,Home & Kitchen,1.37,198.58,Standard,SpeedyCargo,1236.9,5,6,Delivered,Yes,1,39.39,Medium,PayPal,Low,Rain,2,No,None,1,28.9,Delivered
ORD-013145,29-03-2026,CUS-000902,Small Business,Chicago,United States,WH-008,Sydney,Home & Kitchen,14.51,59.03,Express,ParcelPro,578.8,2,2,Delivered,No,0,87.57,Oversized,Bank Transfer,High,Snow,5,No,None,1,12.6,Delivered
ORD-013146,31-01-2026,CUS-004133,Premium,Hamburg,Germany,WH-003,Chicago,Fashion,1.12,86.61,International,SwiftShip,3407.7,12,12,Delivered,No,0,192.45,Medium,Digital Wallet,High,Clear,4,Yes,Damaged Package,1,9.2,Delivered
ORD-013147,31-10-2026,CUS-004451,Consumer,Naples,Italy,WH-003,Chicago,Books,0.24,22.68,Express,PrimeDelivery,1922.6,3,4,Delivered,Yes,1,58.13,Small,Credit Card,High,Rain,3,No,None,2,13.4,Delivered
ORD-013148,07-08-2026,CUS-006211,Consumer,Toulouse,France,WH-005,London,Electronics,1.59,372.71,Express,ParcelPro,1101.1,3,3,Delivered,No,0,51.15,Medium,Credit Card,Low,Cloudy,4,No,None,1,16,Delivered
ORD-013149,31-12-2026,CUS-005502,Premium,Hyderabad,India,WH-007,Paris,Automotive,0.1,1466.72,Economy,BlueRoute,2678.2,10,10,Delivered,No,0,42.43,Small,Credit Card,High,Cloudy,4,No,None,1,8.8,Delivered
ORD-013150,10-11-2026,CUS-005340,Small Business,San Diego,United States,WH-009,Dubai,Office Supplies,0.79,94.91,Standard,ParcelPro,3002.8,6,8,Delivered,Yes,2,89.06,Medium,Debit Card,Normal,Cloudy,3,Yes,Changed Mind,1,25.7,Delivered
ORD-013151,26-06-2026,CUS-000487,Enterprise,Strasbourg,France,WH-009,Dubai,Electronics,0.34,22.62,International,FastTrack Logistics,1018.2,11,15,Delivered,Yes,4,46.02,Small,PayPal,Low,Storm,3,No,None,1,21.6,Delivered
ORD-013152,16-08-2026,CUS-004869,Small Business,Quebec City,Canada,WH-001,New York,Books,0.18,40.65,International,ParcelPro,5471,13,12,Delivered,No,0,288.48,Small,PayPal,Normal,Clear,4,No,None,1,21.6,Delivered
ORD-013153,04-03-2026,CUS-003172,Small Business,Sao Paulo,Brazil,WH-001,New York,Sports & Fitness,0.93,12.38,Standard,ParcelPro,2083,5,6,Delivered,Yes,1,57.15,Medium,PayPal,Normal,Snow,3,No,None,1,19.6,Delivered
ORD-013154,03-04-2026,CUS-006134,Consumer,Riyadh,Saudi Arabia,WH-001,New York,Automotive,5.42,308.57,Standard,SpeedyCargo,5493.5,8,12,In Transit,Yes,4,239.67,Large,Cash on Delivery,Low,Clear,3,No,None,1,38.4,In Transit
ORD-013155,07-10-2026,CUS-001900,Consumer,Jeddah,Saudi Arabia,WH-005,London,Toys,1.49,46.34,International,SwiftShip,1087.4,11,12,Delivered,Yes,1,74.25,Medium,Debit Card,High,Cloudy,3,No,None,2,10.5,Delivered
ORD-013156,26-05-2026,CUS-006237,Small Business,The Hague,Netherlands,WH-009,Dubai,Fashion,1.01,13.99,International,SpeedyCargo,1665.5,11,13,Delivered,Yes,2,92.36,Medium,Credit Card,High,Rain,3,No,None,1,11.2,Delivered
ORD-013157,16-04-2026,CUS-001365,Small Business,Pune,India,WH-002,Los Angeles,Grocery,1.78,63.4,Standard,GlobalExpress,2162.2,5,7,Delivered,Yes,2,59.85,Medium,Cash on Delivery,Low,Snow,3,No,None,2,28.5,Delivered
ORD-013158,11-10-2026,CUS-000534,Consumer,Ottawa,Canada,WH-001,New York,Beauty,0.5,97.79,Standard,EagleCourier,3539.9,6,6,Delivered,No,0,98.35,Medium,Digital Wallet,Normal,Clear,4,No,None,2,25.9,Delivered
ORD-013159,19-11-2026,CUS-002884,Enterprise,Toronto,Canada,WH-006,Berlin,Home & Kitchen,0.1,14.46,Standard,ParcelPro,2165,5,7,Delivered,Yes,2,53.38,Medium,PayPal,Normal,Rain,2,No,None,2,26.1,Delivered
ORD-013160,01-01-2026,CUS-004823,Consumer,Bristol,United Kingdom,WH-001,New York,Beauty,0.31,37.17,Standard,FastTrack Logistics,463.7,4,4,Delivered,No,0,10.6,Small,Bank Transfer,Normal,Clear,4,No,None,1,13.9,Delivered
ORD-013161,17-02-2026,CUS-001845,Consumer,Bristol,United Kingdom,WH-006,Berlin,Books,0.78,16.57,International,SpeedyCargo,2022.3,11,10,Delivered,No,0,137.75,Large,Credit Card,Urgent,Cloudy,4,No,None,1,5.8,Delivered
ORD-013162,07-11-2026,CUS-000319,Consumer,Lahore,Pakistan,WH-003,Chicago,Sports & Fitness,2.58,237.71,Economy,ParcelPro,3210.7,10,12,Delivered,Yes,2,83.65,Large,Debit Card,Normal,Snow,2,No,None,2,27.6,Delivered
ORD-013163,10-05-2026,CUS-005559,Consumer,Kolkata,India,WH-004,Toronto,Electronics,7.87,14.42,International,BlueRoute,8133.1,14,18,Delivered,Yes,4,500,Large,Cash on Delivery,High,Snow,3,No,None,1,12.1,Delivered
ORD-013164,18-02-2026,CUS-005055,Enterprise,Chicago,United States,WH-008,Sydney,Beauty,0.35,38.17,International,SwiftShip,1627.5,11,10,Delivered,No,0,64.66,Small,Credit Card,Urgent,Rain,5,No,None,2,3.4,Delivered
ORD-013165,25-01-2026,CUS-004905,Consumer,Hamburg,Germany,WH-002,Los Angeles,Fashion,0.76,88.98,International,EagleCourier,1980.5,11,11,Delivered,No,0,129.63,Large,Credit Card,Normal,Rain,4,No,None,1,22.7,Delivered
ORD-013166,25-10-2026,CUS-002740,Premium,Chennai,India,WH-004,Toronto,Sports & Fitness,1.18,165.72,Standard,ParcelPro,5773.2,8,9,Delivered,Yes,1,187.59,Medium,Cash on Delivery,High,Cloudy,3,No,None,1,11.6,Delivered
ORD-013167,29-03-2026,CUS-002712,Consumer,Dallas,United States,WH-001,New York,Grocery,2.18,57.88,Standard,SwiftShip,1086.6,5,4,Delivered,No,0,43.02,Large,Credit Card,High,Rain,4,No,None,1,5.3,Delivered
ORD-013168,05-12-2026,CUS-004808,Small Business,Amsterdam,Netherlands,WH-004,Toronto,Fashion,0.88,119.96,Standard,PrimeDelivery,1169.6,5,5,Delivered,No,0,34.55,Medium,Credit Card,High,Cloudy,4,No,None,1,9.3,Delivered
ORD-013169,18-07-2026,CUS-000945,Enterprise,Marseille,France,WH-004,Toronto,Grocery,2.28,76.72,Economy,ParcelPro,2254,9,8,Delivered,No,0,58.66,Large,Credit Card,High,Rain,4,No,None,1,4.4,Delivered
ORD-013170,10-06-2026,CUS-002270,Consumer,Sydney,Australia,WH-007,Paris,Books,0.87,17.44,Express,FastTrack Logistics,4279,4,5,Delivered,Yes,1,202.41,Medium,Cash on Delivery,Urgent,Cloudy,1,No,None,1,7.9,Delivered
ORD-013171,11-03-2026,CUS-001705,Consumer,Vancouver,Canada,WH-004,Toronto,Electronics,2.59,362.45,Express,SwiftShip,911.4,2,3,Delivered,Yes,1,64.35,Large,Credit Card,Normal,Snow,3,No,None,1,25.2,Delivered
ORD-013172,05-10-2026,CUS-002830,Small Business,Kolkata,India,WH-007,Paris,Pet Supplies,0.1,12.97,Economy,SpeedyCargo,4106.4,10,11,Delivered,Yes,1,71.78,Small,PayPal,Normal,Clear,3,Yes,Changed Mind,1,9.4,Delivered
ORD-013173,10-09-2026,CUS-000828,Consumer,New York,United States,WH-004,Toronto,Grocery,1.79,127.41,Standard,ParcelPro,4203.1,7,10,Delivered,Yes,3,137.76,Medium,Debit Card,Low,Cloudy,3,No,None,1,18,Delivered
ORD-013174,05-08-2026,CUS-006312,Small Business,Los Angeles,United States,WH-001,New York,Pet Supplies,2.69,36.57,Standard,GlobalExpress,4476.1,7,9,Delivered,Yes,2,167.16,Large,PayPal,High,Rain,4,No,None,1,12.6,Delivered
ORD-013175,14-07-2026,CUS-004149,Small Business,Hyderabad,India,WH-005,London,Home & Kitchen,1.8,444.44,International,SwiftShip,4971.8,12,14,Delivered,Yes,2,401.25,Large,Debit Card,Normal,Rain,2,No,None,1,26,Delivered
ORD-013176,20-05-2026,CUS-005978,Consumer,Islamabad,Pakistan,WH-001,New York,Beauty,0.65,73.86,Standard,EagleCourier,316.7,4,4,Delivered,No,0,14.45,Medium,Credit Card,High,Extreme Heat,4,No,None,1,7.4,Delivered
ORD-013177,27-09-2026,CUS-005488,Consumer,Houston,United States,WH-002,Los Angeles,Electronics,2.18,12.29,International,PrimeDelivery,4003.3,12,17,Delivered,Yes,5,333.6,Large,Cash on Delivery,Normal,Rain,2,No,None,1,8.8,Delivered
ORD-013178,19-09-2026,CUS-001784,Small Business,Leipzig,Germany,WH-003,Chicago,Toys,0.88,52.83,Standard,PrimeDelivery,2402.1,6,6,Delivered,No,0,67.49,Medium,Debit Card,High,Clear,5,No,None,1,8.2,Delivered
ORD-013179,31-10-2026,CUS-003964,Consumer,Houston,United States,WH-003,Chicago,Pet Supplies,6.95,10,International,PrimeDelivery,5543.2,13,24,Delivered,Yes,11,429.72,Large,Debit Card,Low,Snow,3,No,None,1,21.6,Delivered
ORD-013180,12-04-2026,CUS-005642,Consumer,Vancouver,Canada,WH-005,London,Home & Kitchen,0.1,314.55,International,EagleCourier,1633.3,11,13,Delivered,Yes,2,62.92,Small,PayPal,Normal,Cloudy,2,No,None,1,21,Delivered
ORD-013181,13-02-2026,CUS-002798,Small Business,Gold Coast,Australia,WH-007,Paris,Automotive,3.32,312.31,International,EagleCourier,3694.8,12,12,Delivered,No,0,309.41,Large,PayPal,High,Cloudy,4,No,None,1,2.6,Delivered
ORD-013182,23-08-2026,CUS-005357,Premium,Kolkata,India,WH-009,Dubai,Toys,1.42,17.57,International,SpeedyCargo,8243.8,14,15,Delivered,Yes,1,500,Medium,Credit Card,Normal,Rain,3,No,None,1,26.8,Delivered
ORD-013183,14-08-2026,CUS-000876,Premium,Medina,Saudi Arabia,WH-001,New York,Sports & Fitness,1.84,198.47,Express,FastTrack Logistics,220,2,2,Delivered,No,0,20.62,Medium,Credit Card,High,Rain,4,No,None,1,14.9,Delivered
ORD-013184,31-03-2026,CUS-006047,Consumer,San Antonio,United States,WH-003,Chicago,Home & Kitchen,1.89,256.44,Express,SwiftShip,2473.9,3,3,Delivered,No,0,106.93,Medium,PayPal,High,Rain,4,Yes,Damaged Package,1,2.4,Delivered
ORD-013185,23-03-2026,CUS-002990,Consumer,Quebec City,Canada,WH-009,Dubai,Electronics,0.21,84.83,Express,FastTrack Logistics,2059.1,3,4,Delivered,Yes,1,80.58,Medium,Credit Card,Normal,Storm,3,No,None,1,15.5,Delivered
ORD-013186,14-02-2026,CUS-001651,Enterprise,Singapore,Singapore,WH-004,Toronto,Automotive,0.1,334.1,Express,SpeedyCargo,2114.2,3,2,Delivered,No,0,69.62,Small,Debit Card,Urgent,Cloudy,5,No,None,2,2.3,Delivered
ORD-013187,08-11-2026,CUS-001238,Consumer,Hyderabad,India,WH-006,Berlin,Beauty,0.92,81.55,International,BlueRoute,5006.9,13,16,Delivered,Yes,3,331,Medium,Credit Card,Low,Rain,2,No,None,1,30,Delivered
ORD-013188,10-03-2026,CUS-003042,Premium,Ottawa,Canada,WH-001,New York,Grocery,2.16,253.28,Same Day,SpeedyCargo,952.4,1,1,Delivered,No,0,101.37,Large,Credit Card,High,Clear,5,No,None,1,6.2,Delivered
ORD-013189,29-08-2026,CUS-002211,Enterprise,Dusseldorf,Germany,WH-003,Chicago,Books,0.9,69.39,International,EagleCourier,2659.5,11,13,Delivered,Yes,2,135.33,Medium,Credit Card,Normal,Rain,3,No,None,1,28.3,Delivered
ORD-013190,11-12-2026,CUS-001920,Consumer,San Antonio,United States,WH-008,Sydney,Beauty,0.68,61.96,Economy,SpeedyCargo,3825.8,10,14,Delivered,Yes,4,70.92,Medium,Credit Card,Normal,Extreme Heat,3,No,None,1,28.8,Delivered
ORD-013191,27-04-2026,CUS-005955,Consumer,Munich,Germany,WH-003,Chicago,Beauty,0.26,72.25,Standard,GlobalExpress,991.7,5,6,In Transit,Yes,1,23.78,Small,Credit Card,Normal,Clear,2,No,None,1,21.9,In Transit
ORD-013192,17-08-2026,CUS-005774,Consumer,Frankfurt,Germany,WH-009,Dubai,Electronics,9.01,138.16,International,GlobalExpress,1944.8,11,12,Delivered,Yes,1,148.44,Large,PayPal,High,Clear,3,No,None,1,10.4,Delivered
ORD-013193,15-05-2026,CUS-003670,Consumer,Glasgow,United Kingdom,WH-001,New York,Sports & Fitness,0.1,131.13,Standard,BlueRoute,2858.4,6,7,Delivered,Yes,1,69.86,Small,Credit Card,Normal,Clear,3,No,None,1,6.7,Delivered
ORD-013194,09-04-2026,CUS-004396,Consumer,Quebec City,Canada,WH-002,Los Angeles,Automotive,0.1,126.77,International,SpeedyCargo,335.5,10,11,Delivered,Yes,1,28.75,Medium,Credit Card,High,Rain,4,No,None,1,7.6,Delivered
ORD-013195,04-02-2026,CUS-001590,Consumer,Chennai,India,WH-002,Los Angeles,Fashion,0.1,29.49,International,FastTrack Logistics,3575.5,12,10,Delivered,No,0,160.02,Small,Credit Card,Urgent,Cloudy,4,No,None,1,3.6,Delivered
ORD-013196,05-02-2026,CUS-004128,Small Business,Hyderabad,India,WH-010,Singapore,Automotive,7.81,424.32,International,PrimeDelivery,3098.4,12,11,Delivered,No,0,321.77,Oversized,Bank Transfer,Urgent,Clear,4,No,None,1,5.9,Delivered
ORD-013197,28-02-2026,CUS-003741,Consumer,Melbourne,Australia,WH-002,Los Angeles,Home & Kitchen,10.46,153.83,Standard,PrimeDelivery,2597.9,6,8,Delivered,Yes,2,143.42,Oversized,Cash on Delivery,Normal,Rain,4,Yes,Late Delivery,1,7.7,Delivered
ORD-013198,02-01-2026,CUS-003560,Small Business,Riyadh,Saudi Arabia,WH-001,New York,Fashion,0.32,10.43,Standard,SwiftShip,230.4,4,5,Delivered,Yes,1,8.94,Small,Debit Card,Normal,Rain,2,Yes,Wrong Item,1,14.9,Delivered
ORD-013199,20-11-2026,CUS-001701,Enterprise,Berlin,Germany,WH-002,Los Angeles,Automotive,18.87,20.16,Economy,SpeedyCargo,1416.5,9,8,Delivered,No,0,59.29,Oversized,Bank Transfer,Normal,Clear,5,No,None,2,29.5,Delivered
ORD-013200,11-03-2026,CUS-000424,Small Business,Philadelphia,United States,WH-002,Los Angeles,Electronics,5.88,384.66,International,BlueRoute,4652.2,12,17,Delivered,Yes,5,399.39,Large,Debit Card,Low,Clear,4,No,None,1,35.8,Delivered
ORD-013201,01-10-2026,CUS-004994,Enterprise,Karachi,Pakistan,WH-001,New York,Electronics,5.78,520.46,Express,ParcelPro,4657.8,4,6,Delivered,Yes,2,273.22,Large,Debit Card,High,Snow,4,Yes,Product Defect,1,13.9,Delivered
ORD-013202,11-12-2026,CUS-005205,Consumer,Sharjah,United Arab Emirates,WH-002,Los Angeles,Electronics,2.94,50.28,Express,BlueRoute,7174.7,5,7,Delivered,Yes,2,401.44,Large,Credit Card,Normal,Clear,2,No,None,1,22.5,Delivered
ORD-013203,19-05-2026,CUS-003425,Consumer,Ottawa,Canada,WH-007,Paris,Fashion,0.72,70.25,Standard,SwiftShip,2939.6,6,5,Delivered,No,0,80.59,Medium,Bank Transfer,Urgent,Clear,4,No,None,1,5.6,Delivered
ORD-013204,27-03-2026,CUS-005511,Enterprise,Adelaide,Australia,WH-010,Singapore,Electronics,0.99,21.28,Express,ParcelPro,672.7,2,2,Delivered,No,0,37.48,Medium,Debit Card,Normal,Clear,4,Yes,Damaged Package,1,26.8,Delivered
ORD-013205,13-02-2026,CUS-005674,Small Business,Hobart,Australia,WH-008,Sydney,Health & Personal Care,0.1,61.57,International,BlueRoute,3204.1,12,14,Delivered,Yes,2,152.17,Small,Credit Card,High,Cloudy,2,No,None,2,9.5,Delivered
ORD-013206,21-03-2026,CUS-004138,Consumer,Paris,France,WH-004,Toronto,Fashion,1.04,105.17,International,EagleCourier,1802.9,11,13,Delivered,Yes,2,100.72,Medium,Credit Card,Normal,Cloudy,3,No,None,1,24.7,Delivered
ORD-013207,21-05-2026,CUS-005765,Consumer,Calgary,Canada,WH-009,Dubai,Home & Kitchen,3.16,290.88,Same Day,PrimeDelivery,684.4,1,1,Delivered,No,0,86.5,Large,Debit Card,Normal,Storm,4,No,None,2,23.3,Delivered
ORD-013208,04-07-2026,CUS-004738,Consumer,Bristol,United Kingdom,WH-002,Los Angeles,Fashion,0.54,11.04,Standard,BlueRoute,1707.5,5,5,Delivered,No,0,44.89,Medium,Debit Card,Normal,Cloudy,5,No,None,1,18,Delivered
ORD-013209,24-12-2026,CUS-002137,Enterprise,Montpellier,France,WH-005,London,Fashion,1.42,106.38,Standard,FastTrack Logistics,2683.9,6,8,Delivered,Yes,2,69.33,Medium,Digital Wallet,High,Storm,3,No,None,1,2.1,Delivered
ORD-013210,13-06-2026,CUS-001273,Consumer,Melbourne,Australia,WH-003,Chicago,Books,0.27,59.73,International,ParcelPro,4369.6,12,12,Delivered,No,0,222.33,Small,Credit Card,High,Cloudy,3,No,None,2,8.8,Delivered
ORD-013211,04-06-2026,CUS-003619,Consumer,Manchester,United Kingdom,WH-005,London,Automotive,0.1,440,Standard,ParcelPro,2330.1,6,7,Delivered,Yes,1,46.87,Small,Debit Card,High,Extreme Heat,3,No,None,1,7.2,Delivered
ORD-013212,15-01-2026,CUS-005818,Consumer,Hamburg,Germany,WH-004,Toronto,Grocery,1.35,92.11,Economy,GlobalExpress,1823,9,9,Delivered,No,0,37.83,Medium,Debit Card,Low,Clear,3,No,None,1,20,Delivered
ORD-013213,18-06-2026,CUS-002763,Consumer,Sheffield,United Kingdom,WH-005,London,Beauty,0.23,11.31,International,PrimeDelivery,1879,11,10,Delivered,No,0,74.31,Small,Debit Card,Normal,Clear,4,No,None,1,8,Delivered
ORD-013214,14-03-2026,CUS-004500,Consumer,Dusseldorf,Germany,WH-004,Toronto,Home & Kitchen,5.21,260.79,International,PrimeDelivery,2567.6,11,13,Delayed,Yes,2,192.29,Large,Credit Card,Normal,Cloudy,3,No,None,1,15.2,In Transit
ORD-013215,03-01-2026,CUS-005703,Small Business,Jeddah,Saudi Arabia,WH-007,Paris,Home & Kitchen,6.23,132.93,International,EagleCourier,5352.6,13,22,Delivered,Yes,9,409.8,Large,PayPal,Normal,Snow,4,No,None,1,14,Delivered
ORD-013216,22-01-2026,CUS-001857,Enterprise,Valencia,Spain,WH-001,New York,Electronics,2.18,1310.4,Standard,PrimeDelivery,511.9,4,5,Delivered,Yes,1,32.39,Large,Digital Wallet,High,Rain,2,Yes,Wrong Item,1,3.1,Delivered
ORD-013217,01-06-2026,CUS-004863,Consumer,Chicago,United States,WH-006,Berlin,Electronics,0.7,11.01,Standard,PrimeDelivery,354.1,4,5,In Transit,Yes,1,14.16,Medium,PayPal,Normal,Cloudy,4,No,None,1,26.7,In Transit
ORD-013218,12-10-2026,CUS-003439,Consumer,Abu Dhabi,United Arab Emirates,WH-010,Singapore,Sports & Fitness,0.1,89.57,International,ParcelPro,5282.3,13,14,Delivered,Yes,1,231.6,Small,Debit Card,Low,Cloudy,3,No,None,1,15.2,Delivered
ORD-013219,25-07-2026,CUS-005486,Premium,New York,United States,WH-007,Paris,Electronics,1.44,23.26,Standard,SpeedyCargo,1635.5,5,8,Delivered,Yes,3,46.91,Medium,Cash on Delivery,Normal,Storm,3,No,None,2,10,Delivered
ORD-013220,26-11-2026,CUS-001281,Consumer,Kyoto,Japan,WH-008,Sydney,Beauty,0.81,84.9,International,PrimeDelivery,204.3,10,9,Delivered,No,0,26.26,Medium,Debit Card,High,Clear,5,No,None,1,5.8,Delivered
ORD-013221,05-12-2026,CUS-006222,Small Business,Nantes,France,WH-002,Los Angeles,Fashion,0.75,197.71,Standard,BlueRoute,840.7,5,7,Delayed,Yes,2,29.6,Medium,Cash on Delivery,Normal,Rain,2,Yes,Wrong Item,1,29.7,In Transit
ORD-013222,23-07-2026,CUS-004652,Consumer,Singapore,Singapore,WH-005,London,Sports & Fitness,1.24,18.72,International,GlobalExpress,3687.6,12,11,Delivered,No,0,233.14,Medium,PayPal,Normal,Clear,5,No,None,1,23.5,Delivered
ORD-013223,15-09-2026,CUS-005853,Enterprise,Leipzig,Germany,WH-004,Toronto,Fashion,0.64,66.82,International,SpeedyCargo,3515.4,12,15,Delivered,Yes,3,186.75,Medium,Debit Card,Normal,Cloudy,3,No,None,1,23.9,Delivered
ORD-013224,19-02-2026,CUS-006047,Consumer,Houston,United States,WH-008,Sydney,Grocery,0.76,80.88,Standard,SpeedyCargo,1247.5,5,7,In Transit,Yes,2,38.5,Medium,PayPal,Normal,Storm,3,No,None,2,26.7,In Transit
ORD-013225,06-08-2026,CUS-002311,Enterprise,Singapore,Singapore,WH-005,London,Beauty,0.2,48.56,Economy,SpeedyCargo,1192.9,9,9,Delivered,No,0,21.14,Small,PayPal,Normal,Clear,5,No,None,1,20.5,Delivered
ORD-013226,04-11-2026,CUS-000435,Enterprise,Gold Coast,Australia,WH-001,New York,Sports & Fitness,3.74,229.35,Standard,ParcelPro,356.3,4,7,Delayed,Yes,3,21.15,Large,Credit Card,Low,Snow,2,No,None,1,34.4,Exception
ORD-013227,05-06-2026,CUS-004465,Consumer,Dallas,United States,WH-008,Sydney,Sports & Fitness,1.28,15.05,Standard,BlueRoute,4917.9,7,8,Delivered,Yes,1,162.51,Medium,Bank Transfer,Normal,Clear,3,No,None,1,21,Delivered
ORD-013228,11-06-2026,CUS-001348,Consumer,Ottawa,Canada,WH-007,Paris,Sports & Fitness,0.44,94.54,International,SwiftShip,1217.6,11,9,Delivered,No,0,54.12,Small,PayPal,Urgent,Cloudy,4,No,None,1,1.3,Delivered
ORD-013229,12-03-2026,CUS-002369,Consumer,Rawalpindi,Pakistan,WH-005,London,Pet Supplies,2.81,125.83,Standard,PrimeDelivery,3918.7,7,9,Delivered,Yes,2,163.67,Large,Credit Card,Low,Clear,3,No,None,1,39.3,Delivered
ORD-013230,16-09-2026,CUS-003565,Small Business,Philadelphia,United States,WH-005,London,Electronics,5.76,801.48,Standard,ParcelPro,2992.3,6,6,In Transit,No,0,155.73,Oversized,PayPal,Urgent,Extreme Heat,3,No,None,1,4,In Transit
ORD-013231,25-11-2026,CUS-003628,Small Business,Austin,United States,WH-001,New York,Fashion,0.1,13.75,Express,SpeedyCargo,3434.1,4,5,Delivered,Yes,1,149.85,Medium,Digital Wallet,High,Cloudy,3,No,None,1,3.6,Delivered
ORD-013232,22-07-2026,CUS-005183,Consumer,Calgary,Canada,WH-002,Los Angeles,Electronics,1.67,558.91,Express,EagleCourier,1968.5,3,4,Delivered,Yes,1,101.5,Large,PayPal,Normal,Rain,3,Yes,Wrong Item,1,25.1,Delivered
ORD-013233,10-07-2026,CUS-001512,Consumer,Dallas,United States,WH-002,Los Angeles,Fashion,0.74,16.69,International,SwiftShip,1516.7,11,8,Delayed,No,0,114.35,Large,Credit Card,Urgent,Clear,4,Yes,Product Defect,1,6.6,Exception
ORD-013234,24-03-2026,CUS-003115,Consumer,Canberra,Australia,WH-002,Los Angeles,Fashion,1.05,102.58,International,SwiftShip,5684.5,13,16,Delivered,Yes,3,448.96,Large,PayPal,Normal,Cloudy,2,No,None,2,23.8,Delivered
ORD-013235,15-09-2026,CUS-001000,Enterprise,Los Angeles,United States,WH-005,London,Beauty,0.73,12.69,Standard,ParcelPro,3215.8,6,6,Delivered,No,0,89.22,Medium,Credit Card,Normal,Clear,4,No,None,1,25,Delivered
ORD-013236,08-06-2026,CUS-003469,Consumer,Glasgow,United Kingdom,WH-002,Los Angeles,Fashion,1.61,47.17,Express,GlobalExpress,252.5,2,2,Delivered,No,0,20.31,Medium,Credit Card,High,Extreme Heat,4,No,None,1,13.9,Delivered
ORD-013237,24-12-2026,CUS-000109,Consumer,Stuttgart,Germany,WH-001,New York,Electronics,0.1,664.97,Standard,EagleCourier,1977,5,7,Delivered,Yes,2,36.66,Small,Debit Card,Normal,Storm,2,No,None,1,27.3,Delivered
ORD-013238,02-04-2026,CUS-006178,Enterprise,Toronto,Canada,WH-003,Chicago,Beauty,0.1,75.04,International,SwiftShip,3749,12,14,Delivered,Yes,2,158.32,Small,Credit Card,Low,Cloudy,3,No,None,1,19.1,Delivered
ORD-013239,24-09-2026,CUS-002494,Consumer,Bristol,United Kingdom,WH-002,Los Angeles,Automotive,0.1,10.91,Standard,GlobalExpress,1034.1,5,5,Delivered,No,0,23.52,Small,Credit Card,Normal,Cloudy,5,No,None,1,17.5,Delivered
ORD-013240,05-12-2026,CUS-004711,Small Business,Manchester,United Kingdom,WH-002,Los Angeles,Health & Personal Care,0.22,35.07,Express,FastTrack Logistics,713.1,2,2,Delivered,No,0,30.46,Small,Credit Card,High,Rain,5,No,None,1,11.6,Delivered
ORD-013241,12-07-2026,CUS-002348,Consumer,Hyderabad,India,WH-007,Paris,Beauty,0.49,46.95,Standard,SwiftShip,1066.6,5,6,Delivered,Yes,1,23.86,Small,Debit Card,High,Storm,2,No,None,1,6.6,Delivered
ORD-013242,27-08-2026,CUS-001085,Enterprise,Dusseldorf,Germany,WH-001,New York,Office Supplies,2.13,137.06,Express,ParcelPro,1429.6,3,3,Delivered,No,0,84.97,Large,PayPal,Normal,Cloudy,4,No,None,1,18.2,Delivered
ORD-013243,26-01-2026,CUS-002746,Consumer,Houston,United States,WH-001,New York,Electronics,5.46,841.09,Express,PrimeDelivery,2053.2,3,4,Delivered,Yes,1,123.97,Large,PayPal,Low,Storm,2,No,None,2,21.9,Delivered
ORD-013244,12-10-2026,CUS-002308,Small Business,Lyon,France,WH-001,New York,Fashion,0.1,25.37,Standard,FastTrack Logistics,269.9,4,4,Delivered,No,0,9.68,Small,Digital Wallet,High,Rain,5,No,None,1,7.2,Delivered
ORD-013245,21-08-2026,CUS-004323,Enterprise,Tokyo,Japan,WH-002,Los Angeles,Toys,1.47,158.05,International,GlobalExpress,4899.7,12,18,In Transit,Yes,6,311.79,Medium,Debit Card,Normal,Rain,1,No,None,1,23.2,In Transit
ORD-013246,02-03-2026,CUS-005655,Consumer,Chicago,United States,WH-005,London,Fashion,0.91,97.04,Standard,SwiftShip,378.1,4,4,Delivered,No,0,14.78,Medium,Digital Wallet,Urgent,Rain,3,No,None,1,7.2,Delivered
ORD-013247,19-04-2026,CUS-001895,Consumer,Bristol,United Kingdom,WH-003,Chicago,Sports & Fitness,0.1,26.5,Standard,SpeedyCargo,2007.4,5,7,Delivered,Yes,2,39.78,Small,Credit Card,Normal,Snow,3,No,None,1,23.1,Delivered
ORD-013248,16-10-2026,CUS-000395,Consumer,Edmonton,Canada,WH-003,Chicago,Electronics,1.21,677.23,International,ParcelPro,3245.3,12,12,Delivered,No,0,235.68,Large,Debit Card,High,Cloudy,4,No,None,2,4.2,Delivered
